persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,1,0,0,0,0,0,4,0,0,0,0,0,0,0,1
0,1,0,19,19,0,0,0,0,0,18,0,0,0,1,1,1,1,0
2,4,0,4,28,0,0,0,0,0,18,1,4,0,3,11,0,1,0
11,8,0,16,18,0,0,1,0,0,13,0,0,0,3,3,1,2,0
0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,2,2,3,0,0,2,3,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,0,0,6,4,0,1,0,0,0,2,0,0,0,1,3,0,1,1
4,3,0,8,14,0,0,0,0,0,16,0,6,0,1,9,1,0,1
0,5,0,9,17,1,0,0,0,0,5,0,1,1,0,9,0,0,1
15,8,0,23,25,1,0,4,0,0,11,0,1,1,4,6,1,2,1
5,3,0,3,6,1,1,0,0,0,8,0,2,0,0,9,0,0,1
22,9,2,73,38,0,0,2,0,0,33,3,3,3,8,26,3,0,1
5,0,0,3,1,2,0,2,0,0,1,0,0,0,0,1,0,0,1
10,2,0,9,5,1,0,2,0,0,3,1,0,1,1,3,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,4,0,0,1
27,15,0,98,39,3,1,1,0,0,45,0,10,1,2,42,0,0,1
4,10,0,5,8,0,2,0,0,0,3,0,0,0,2,3,1,0,1
7,5,0,6,8,0,0,0,0,1,1,0,0,0,0,2,0,0,1
2,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1
7,0,0,12,5,0,2,0,0,0,5,1,0,0,1,4,0,1,1
2,0,0,7,1,2,0,0,0,0,8,0,0,0,0,5,0,0,1
10,3,2,48,47,1,0,1,0,0,52,0,3,3,8,23,3,1,1
1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1
0,1,0,1,4,0,0,0,1,0,2,0,0,0,0,1,1,0,0
0,0,1,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,2,0,13,1,0,0,0,0,0,3,0,1,0,0,7,0,0,1
21,6,0,50,26,1,3,2,3,0,15,1,1,3,4,50,0,1,1
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,1,0,31,1,0,0,2,0,0,0,1,0,0,2,2,0,0,0
4,0,0,7,6,1,1,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2,1,0,5,0,2,0,0,0,0,8,0,0,0,0,13,0,0,1
0,0,1,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,1
4,0,0,1,2,0,0,0,0,0,4,0,0,2,0,4,1,0,1
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
0,2,0,29,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0
15,2,0,11,2,0,0,2,0,0,4,2,0,1,0,3,0,0,0
14,1,1,19,18,0,0,2,2,0,5,1,0,2,1,4,0,0,0
8,2,0,19,20,1,0,0,0,0,20,0,3,0,2,11,2,1,0
0,0,0,3,6,0,0,0,0,0,2,1,2,0,1,5,0,0,0
5,5,0,13,35,0,0,0,0,0,31,0,13,0,1,18,3,2,0
8,3,1,11,21,1,0,0,0,0,12,0,1,0,3,14,0,1,0
12,17,0,20,42,0,0,0,0,0,31,2,4,0,4,28,0,3,1
1,1,0,13,30,1,1,0,0,0,2,0,1,4,0,10,0,6,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,1
0,3,0,3,13,0,0,0,0,0,8,0,0,0,2,1,0,0,1
1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,0,2,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1,0,0,11,2,0,0,0,0,0,2,1,2,0,0,8,0,0,0
14,3,0,26,5,0,0,0,0,0,27,0,0,2,4,17,0,0,0
5,2,0,6,10,0,0,0,0,0,5,0,0,0,2,3,0,0,0
2,0,0,1,6,0,1,1,0,0,7,0,0,0,5,8,0,0,0
19,5,0,51,50,0,0,1,0,0,23,0,2,15,7,22,0,5,0
24,2,0,41,20,4,1,0,0,0,29,0,0,2,4,12,0,0,0
3,4,2,14,24,1,0,2,0,0,8,1,0,0,3,63,1,13,1
9,3,0,8,0,2,0,1,0,0,5,2,1,2,0,11,0,3,1
35,1,0,67,15,0,0,5,0,0,18,2,0,8,4,9,0,0,1
18,3,0,28,13,0,1,1,1,0,11,0,4,2,2,13,0,0,1
19,6,0,34,29,3,1,2,0,0,24,2,4,2,3,33,0,5,1
13,3,1,37,11,0,1,2,2,0,26,1,0,1,4,16,0,1,1
31,13,2,42,24,3,1,0,0,0,12,3,11,0,3,16,1,1,1
7,0,0,10,7,0,0,2,0,0,5,1,0,1,0,5,0,1,1
0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
2,2,0,6,15,0,0,2,0,0,6,0,0,0,0,4,0,2,1
15,14,1,55,26,1,0,1,1,0,15,0,0,2,10,8,3,0,1
4,1,0,10,13,0,0,0,0,0,12,0,0,0,3,10,0,0,0
2,1,0,20,11,0,0,0,0,0,18,7,8,0,1,9,0,0,0
0,0,0,13,3,0,1,0,0,0,12,9,1,0,0,2,4,0,0
