label,aapp,acab,acty,aggp,amas,amph,anab,anim,anst,antb,arch,bacs,bact,bdsu,bdsy,bhvr,biof,bird,blor,bmod,bodm,bpoc,bsoj,celc,celf,cell,cgab,chem,chvf,chvs,clas,clna,clnd,cnce,comd,crbs,diap,dora,drdd,dsyn,edac,eehu,elii,emod,emst,enty,enzy,euka,evnt,famg,ffas,fish,fndg,fngs,food,ftcn,genf,geoa,gngm,gora,grpa,grup,hcpp,hcro,hlcs,hops,horm,humn,idcn,imft,inbe,inch,inpo,inpr,irda,lang,lbpr,lbtr,mamm,mbrt,mcha,medd,menp,mnob,mobd,moft,mosq,neop,nnon,npop,nusq,ocac,ocdi,orch,orga,orgf,orgm,orgt,ortf,patf,phob,phpr,phsf,phsu,plnt,podg,popg,prog,pros,qlco,qnco,rcpt,rept,resa,resd,rnlw,sbst,shro,socb,sosy,spco,tisu,tmco,topp,virs,vita,vtbt
Fake,2,0,8,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,9,1,0,0,2,0,4,1,0,0,0,0,1,1,1,1,0,0,0,11,0,2,22,0,8,5,0,0,1,2,0,0,0,0,0,14,1,1,0,0,14,1,1,1,0,1,0,0,1,4,9,3,0,0,0,2,0,0,3,2,3,2,5,0,2,0,0,1,3,0,3,1,0,4,6,0,28,18,0,0,1,0,2,2,0,5,2,13,1,14,1,2,0,0
Fake,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,6,2,0,0,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,2,0,8,9,0,0,0,0,0,1,0,1,0,4,1,5,1,2,0,0
Fake,2,0,17,0,0,0,0,2,1,0,0,3,0,2,2,0,0,1,2,2,1,5,0,4,0,2,0,1,0,2,1,2,0,7,1,0,0,5,0,15,2,0,0,0,0,1,1,5,2,1,0,0,28,0,4,53,2,23,6,2,0,0,1,5,0,2,0,3,20,4,4,0,4,21,1,0,5,0,3,1,1,4,17,14,1,1,0,2,3,3,0,0,7,4,1,4,3,7,0,3,0,10,3,5,3,0,14,11,0,60,29,1,0,6,0,0,2,0,11,6,18,0,26,10,4,0,0
fake,2,0,18,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,3,6,7,0,0,0,0,0,0,1,1,1,1,0,8,0,0,0,4,0,11,2,1,1,0,0,1,2,4,2,4,0,0,41,0,4,35,0,11,7,0,0,0,2,5,0,1,0,2,26,1,4,2,2,19,0,1,2,0,2,0,1,3,28,25,7,0,0,0,0,1,0,5,6,6,2,9,0,7,0,0,0,9,2,8,2,1,10,9,0,69,38,0,0,3,0,2,3,0,17,7,17,0,46,4,2,0,0
fake,1,0,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,1,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,10,0,0,2,0,0,0,1,1,0,0,0,0,15,0,1,26,0,33,2,0,0,0,1,5,0,6,0,2,21,2,2,2,4,11,0,0,1,0,2,1,0,1,8,12,1,0,0,0,2,1,0,4,4,8,0,3,2,4,0,2,1,5,2,8,1,2,5,7,0,37,18,0,0,4,0,0,1,0,4,3,10,1,23,3,3,0,0
fake,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,1,1,0,0,0,11,0,0,12,0,3,1,1,0,0,1,2,0,0,0,0,10,0,4,0,1,5,1,0,0,0,1,0,0,2,3,7,1,0,0,0,0,0,0,4,1,1,1,2,1,5,0,1,0,1,0,0,0,1,5,6,0,17,14,0,0,2,0,0,0,0,2,1,10,0,8,0,2,0,0
fake,2,0,9,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3,0,1,1,0,0,0,0,1,1,0,4,0,0,0,7,0,8,1,1,1,0,0,2,1,3,1,3,0,0,23,0,0,28,0,9,3,0,0,0,1,2,0,1,0,2,17,1,2,0,1,15,1,0,2,0,0,1,0,7,13,8,1,0,0,2,1,0,2,2,1,2,1,3,0,6,0,2,0,4,1,4,0,1,3,5,0,29,30,0,0,2,1,1,1,0,4,2,9,0,20,10,2,0,0
Fake,1,0,18,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,2,2,4,0,0,0,0,0,0,1,0,2,2,0,13,0,0,0,3,0,10,1,1,1,0,0,1,0,4,2,3,0,0,31,0,1,34,1,30,11,1,0,0,1,3,0,0,0,2,28,2,3,0,1,21,1,0,4,0,0,0,2,6,11,21,2,0,0,0,1,1,1,3,5,2,5,6,3,14,0,4,0,10,0,7,0,0,19,8,0,69,41,0,0,1,2,1,0,0,15,3,17,0,29,7,2,1,0
fake,1,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,5,0,0,1,0,0,0,1,0,0,1,0,0,8,0,0,16,0,5,0,1,0,1,0,0,0,0,0,0,8,0,0,2,0,8,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,4,0,1,2,3,0,19,14,0,0,1,0,0,0,0,1,2,3,0,12,3,1,0,0
fake,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,7,0,3,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,3,0,0,0,2,0,6,9,0,0,2,0,0,0,0,2,0,1,0,8,2,2,0,0
