label,aapp,acab,acty,aggp,amas,amph,anab,anim,anst,antb,arch,bacs,bact,bdsu,bdsy,bhvr,biof,bird,blor,bmod,bodm,bpoc,bsoj,celc,celf,cell,cgab,chem,chvf,chvs,clas,clna,clnd,cnce,comd,crbs,diap,dora,drdd,dsyn,edac,eehu,elii,emod,emst,enty,enzy,euka,evnt,famg,ffas,fish,fndg,fngs,food,ftcn,genf,geoa,gngm,gora,grpa,grup,hcpp,hcro,hlcs,hops,horm,humn,idcn,imft,inbe,inch,inpo,inpr,irda,lang,lbpr,lbtr,mamm,mbrt,mcha,medd,menp,mnob,mobd,moft,mosq,neop,nnon,npop,nusq,ocac,ocdi,orch,orga,orgf,orgm,orgt,ortf,patf,phob,phpr,phsf,phsu,plnt,podg,popg,prog,pros,qlco,qnco,rcpt,rept,resa,resd,rnlw,sbst,shro,socb,sosy,spco,tisu,tmco,topp,virs,vita,vtbt
TRUE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,6,0,3,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,0,0,0,1,0,1,0,0,2,0,0,11,4,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0
TRUE,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,9,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,4,4,0,0,0,0,0,1,0,0,0,2,0,5,1,1,0,0
TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,5,0,1,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,0,0,2,0,1,0,0,1,0,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0
TRUE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,2,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,3,0,2,3,1,0,9,1,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,0
TRUE,3,0,1,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,2,0,2,1,0,0,1,1,0,0,0,0,1,4,2,0,0,0,4,0,0,2,0,1,0,0,0,2,3,0,1,0,0,0,0,0,1,0,0,3,1,0,1,0,0,0,0,1,0,0,1,1,2,0,9,3,0,0,3,0,0,0,0,2,1,1,0,4,2,0,0,0
TRUE,3,0,3,0,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,1,4,0,6,0,0,2,0,0,7,0,0,1,0,1,0,1,2,0,0,0,0,19,0,0,26,0,8,3,0,1,1,1,3,0,0,0,1,11,3,1,0,0,14,0,0,3,2,0,1,0,2,7,9,0,0,0,0,0,1,0,1,0,0,4,1,1,2,0,2,0,2,1,3,1,1,4,5,0,43,15,0,0,3,0,0,2,0,2,4,3,0,21,2,4,0,0
TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,7,0,0,4,0,2,0,0,0,0,0,3,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,2,2,2,0,15,6,0,0,2,0,0,0,0,0,0,1,0,6,1,0,0,0
TRUE,6,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,1,1,0,4,1,0,0,0,0,1,2,0,0,1,0,1,11,0,0,21,0,7,0,0,0,0,0,2,0,0,1,1,12,3,2,1,1,18,1,0,2,1,0,0,0,2,8,9,0,0,1,0,0,1,0,2,4,1,1,3,0,2,0,1,0,3,0,4,1,1,8,6,1,37,13,0,0,8,0,0,1,0,4,1,10,0,13,0,2,1,0
TRUE,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,7,0,0,5,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,4,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,3,1,0,10,2,0,0,1,0,0,0,0,0,0,0,0,5,4,1,0,0
TRUE,1,0,10,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,2,1,0,1,0,0,1,1,0,0,6,0,0,13,0,1,22,0,6,2,1,1,0,1,3,0,0,0,0,13,0,0,1,0,8,0,0,0,0,0,0,0,2,7,10,1,0,0,0,0,0,0,3,1,3,1,5,0,2,0,0,0,1,0,4,0,0,10,9,0,36,20,0,0,1,1,0,1,0,6,0,14,0,12,1,1,0,0
TRUE,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,2,0,0,0,1,0,0,0,0,0,2,0,6,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,11,0,0,23,0,14,3,1,1,0,1,2,0,0,0,1,14,1,0,0,0,12,1,0,2,0,0,0,0,2,5,13,2,0,0,0,0,0,0,1,5,1,1,3,0,4,0,1,0,2,0,2,0,1,8,3,0,30,13,0,0,5,0,0,0,0,2,2,12,0,7,0,2,1,0
TRUE,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,1,0,0,6,0,0,9,0,7,2,0,0,0,0,0,0,0,0,0,6,1,1,0,0,2,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,1,0,0,3,1,0,12,11,0,0,0,0,0,0,0,2,0,1,0,17,0,1,0,0
Fake,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,5,0,0,1,1,0,6,1,0,0,0,0,1,0,0,0,1,0,0,14,0,0,21,0,13,2,0,0,0,1,1,0,0,0,1,8,3,0,0,1,17,1,0,0,0,1,0,0,0,7,7,1,0,0,0,0,1,0,2,2,1,2,3,0,2,0,0,0,3,3,2,0,1,5,3,0,33,20,0,0,0,0,0,0,0,5,1,6,1,27,1,2,0,0
