label,aapp,acab,acty,aggp,amas,amph,anab,anim,anst,antb,arch,bacs,bact,bdsu,bdsy,bhvr,biof,bird,blor,bmod,bodm,bpoc,bsoj,celc,celf,cell,cgab,chem,chvf,chvs,clas,clna,clnd,cnce,comd,crbs,diap,dora,drdd,dsyn,edac,eehu,elii,emod,emst,enty,enzy,euka,evnt,famg,ffas,fish,fndg,fngs,food,ftcn,genf,geoa,gngm,gora,grpa,grup,hcpp,hcro,hlcs,hops,horm,humn,idcn,imft,inbe,inch,inpo,inpr,irda,lang,lbpr,lbtr,mamm,mbrt,mcha,medd,menp,mnob,mobd,moft,mosq,neop,nnon,npop,nusq,ocac,ocdi,orch,orga,orgf,orgm,orgt,ortf,patf,phob,phpr,phsf,phsu,plnt,podg,popg,prog,pros,qlco,qnco,rcpt,rept,resa,resd,rnlw,sbst,shro,socb,sosy,spco,tisu,tmco,topp,virs,vita,vtbt
fake,0,0,9,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,2,0,0,0,0,0,0,0,1,0,2,0,5,0,0,0,4,0,7,0,0,3,0,0,1,0,1,0,0,0,2,23,0,1,17,0,14,6,1,0,0,2,1,0,2,0,0,19,0,0,1,2,13,0,0,0,1,0,0,0,1,15,12,3,0,0,0,1,1,0,4,2,3,3,4,0,4,0,0,0,3,0,6,1,1,10,1,0,33,27,0,0,2,0,1,2,0,3,3,13,1,20,2,3,0,0
fake,0,0,10,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,15,0,8,2,1,0,0,1,0,0,0,0,1,10,0,2,0,1,10,0,2,0,0,4,0,0,1,4,4,1,0,0,0,1,1,0,1,5,1,0,2,1,3,0,1,0,2,1,1,0,0,6,3,0,14,12,0,1,4,0,1,0,0,2,1,6,0,9,0,3,0,0
TRUE,3,0,8,0,0,0,0,1,0,0,0,2,0,2,1,0,0,0,2,2,0,7,0,1,0,0,0,0,0,2,0,2,0,9,0,0,1,0,0,14,1,0,0,0,0,1,1,1,1,2,0,0,17,0,1,35,1,9,1,0,0,0,0,5,0,0,0,2,14,2,0,0,1,20,0,0,2,0,2,2,0,8,5,14,1,0,0,0,0,1,0,2,4,2,4,6,1,2,0,2,0,4,2,9,0,0,5,10,0,49,26,0,0,3,0,0,2,0,6,4,17,1,15,5,6,0,0
TRUE,3,0,20,1,0,0,0,1,0,1,0,1,0,3,0,1,2,0,4,4,6,7,1,0,0,0,0,0,0,0,0,4,0,8,0,0,0,6,0,14,1,1,1,0,0,2,1,3,1,4,0,1,49,0,1,50,0,14,8,1,0,0,1,16,0,0,0,0,26,3,5,3,2,25,0,0,1,0,1,1,0,10,18,32,5,0,0,0,0,5,0,4,2,5,3,8,0,8,0,2,1,7,3,12,0,2,11,15,0,77,40,0,0,3,0,0,3,0,8,17,18,2,41,8,2,0,0
fake,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,4,0,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,2,1,0,5,3,0,0,0,0,0,0,0,0,2,1,0,5,0,1,0,0
fake,1,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,7,0,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,1,0,5,0,1,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,8,0,0,0,0,0,0,0,2,0,4,0,7,1,2,0,0
fake,1,0,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,10,0,5,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,0,0,1,1,1,1,0,0,0,4,0,0,0,0,2,2,0,19,6,0,0,1,0,0,0,0,1,0,2,0,10,0,2,0,0
fake,3,0,3,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,5,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,15,1,9,4,0,0,0,1,1,0,0,0,0,13,1,0,2,1,10,0,0,2,0,0,0,0,0,2,5,0,0,0,0,0,3,0,2,0,0,1,3,0,2,0,2,0,4,1,0,0,0,1,3,0,19,16,0,0,2,0,0,0,0,3,0,11,0,13,1,2,0,0
fake,3,0,2,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,6,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,8,0,0,16,1,9,5,0,0,0,1,1,0,0,0,1,17,1,0,2,0,14,0,0,2,0,0,0,0,0,4,7,1,0,0,0,0,3,0,3,3,0,0,2,0,3,0,1,0,3,1,0,0,0,2,5,0,24,20,0,0,4,0,0,0,0,3,0,13,0,11,1,2,0,0
fake,4,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,0,0,0,0,0,1,2,0,1,0,0,0,9,0,0,12,1,5,2,0,0,0,0,0,0,0,0,0,3,1,0,2,1,9,0,0,0,0,0,0,0,0,1,5,0,1,0,1,1,3,0,0,0,0,1,1,0,0,0,2,0,2,0,2,0,0,0,0,0,25,11,0,0,1,0,0,1,0,2,0,10,0,7,1,3,0,0
