persons,norps,facs,orgs,gpes,products,events,arts,laws,langs,dates,times,percents,moneys,ords,cards,quants,location,label_fake
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,4,1,0,0,0,0,0,4,0,0,0,1,1,0,0,1
0,1,1,16,16,0,1,0,0,0,11,1,0,0,1,3,0,2,0
2,4,0,7,24,0,0,0,0,0,14,1,4,0,3,10,0,1,0
9,8,1,15,16,1,0,0,0,0,11,0,0,0,3,4,1,2,0
0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2,0,0,1,0,0,0,0,0,0,3,2,0,0,0,4,2,0,0
1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
5,0,0,6,3,0,0,0,1,0,2,0,0,0,1,1,0,1,1
8,3,0,6,16,2,1,0,0,0,18,0,0,0,1,11,0,0,1
1,4,0,9,16,1,1,0,0,0,5,0,0,0,0,8,0,0,1
15,7,0,23,20,1,0,0,0,0,8,0,1,1,6,6,1,1,1
4,3,0,4,5,0,1,0,0,0,6,0,0,0,0,10,0,0,1
20,7,4,51,31,1,0,2,0,0,13,3,0,0,8,30,2,0,1
2,0,1,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1
5,4,0,7,4,1,0,0,0,0,2,1,0,0,2,5,0,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,1
25,16,1,86,31,1,1,0,0,0,35,0,2,2,1,47,0,0,1
4,11,0,6,8,0,1,0,0,0,3,0,0,0,3,3,1,0,1
7,5,0,6,8,0,0,0,0,1,2,0,1,0,0,1,0,0,1
1,2,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1
7,0,0,12,4,0,0,0,1,0,4,1,0,0,1,1,0,1,1
2,0,0,7,0,0,0,0,0,0,7,0,0,0,0,2,0,0,1
12,3,3,47,48,2,0,1,0,0,45,0,3,2,9,18,3,1,1
4,0,0,0,0,0,0,1,0,0,2,0,0,0,1,2,0,0,1
2,1,0,1,3,1,0,0,1,0,3,0,0,0,0,2,0,0,0
3,0,0,13,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,3,0,10,0,0,0,0,2,0,3,0,0,0,0,5,0,0,1
17,4,0,52,21,0,3,2,2,0,13,1,0,0,4,48,2,2,1
0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,1,0,24,0,0,0,0,0,0,1,1,0,0,2,3,0,0,0
3,0,0,3,2,1,1,0,0,0,1,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0,1,2,5,0,0,0,3,0,0,4,0,0,0,0,11,1,0,1
0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2,0,0,0,2,1,0,1,0,0,4,0,0,0,0,4,1,0,1
2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
6,3,0,25,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0
12,3,0,13,2,1,0,0,0,0,4,2,0,0,0,4,0,0,0
14,1,0,23,10,0,0,0,0,0,5,1,0,0,1,8,0,1,0
9,3,0,23,17,0,0,0,0,0,20,0,3,1,2,10,2,1,0
3,0,0,10,1,0,0,0,0,0,1,0,0,0,1,5,0,1,0
1,5,0,13,31,2,1,0,0,0,30,0,8,0,1,17,2,2,0
16,3,1,11,14,0,0,1,0,0,11,0,0,0,3,12,0,1,0
12,17,0,21,39,1,0,1,0,0,26,2,1,0,3,22,0,3,1
5,1,0,5,30,0,1,0,0,0,1,0,0,1,0,9,1,6,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1
2,2,0,2,13,0,0,0,0,0,6,0,0,0,4,1,0,0,1
1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,0,5,7,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2,1,0,9,2,0,0,0,0,0,2,1,0,0,0,10,0,0,0
14,2,0,29,6,2,0,1,0,0,24,0,0,2,4,17,0,0,0
3,3,0,7,10,0,0,0,0,0,3,0,0,0,2,2,0,0,0
1,0,0,4,4,0,1,0,0,0,7,0,0,0,5,4,0,0,0
27,6,0,39,43,2,0,0,0,0,18,0,0,6,7,35,0,3,0
20,2,0,42,14,5,1,0,0,0,19,0,0,2,2,12,0,1,0
6,3,2,16,21,1,0,0,0,0,13,1,0,0,3,50,0,10,1
7,2,0,11,2,1,0,1,0,0,5,1,0,1,0,11,0,0,1
40,4,0,60,11,0,0,1,4,0,18,2,0,1,3,12,0,0,1
20,2,0,23,9,1,0,3,1,0,10,0,0,0,2,16,1,0,1
20,6,0,40,26,2,0,2,0,0,21,1,0,2,3,25,0,4,1
21,4,0,35,8,2,1,1,2,0,23,0,0,0,3,15,0,1,1
20,10,0,46,25,0,1,3,1,0,9,3,2,0,3,23,1,1,1
6,2,2,13,6,0,0,0,1,0,5,1,0,0,0,5,0,0,1
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
1,2,0,4,15,1,0,1,0,0,4,0,0,0,1,1,0,0,1
14,16,2,51,24,2,0,1,0,0,17,0,0,0,10,6,2,0,1
5,1,0,10,8,0,0,0,0,0,12,0,0,0,4,10,0,0,0
8,0,0,19,9,0,0,0,0,0,16,7,0,0,1,10,0,0,0
5,1,0,7,3,2,0,0,0,0,8,7,0,0,0,2,4,1,0
6,0,0,8,0,0,1,0,0,0,6,2,0,0,2,1,1,0,0
5,0,0,15,1,0,0,0,1,0,18,3,0,0,0,5,1,0,0
3,0,1,1,0,2,0,0,0,0,5,0,0,0,0,1,0,0,0
1,0,0,3,2,0,0,0,0,0,1,0,0,0,2,1,0,0,0
2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,1,0,15,4,0,0,0,0,0,1,1,1,0,0,0,0,0,0
31,15,3,51,57,1,2,4,2,0,41,3,0,2,9,34,2,0,1
10,3,3,53,48,2,2,2,0,0,46,0,3,3,9,23,3,1,1
1,0,0,3,1,0,0,1,0,0,4,0,0,0,1,6,0,0,0
1,0,0,5,1,0,0,0,0,0,7,0,1,0,0,4,0,0,1
3,5,0,6,6,0,0,0,0,0,4,0,0,0,0,3,0,1,1
5,4,0,8,11,0,0,0,0,0,7,0,0,0,0,1,0,0,1
2,0,0,6,0,0,1,0,0,0,6,0,0,0,0,3,0,0,1
28,8,2,27,11,2,0,4,0,0,17,0,3,2,4,15,1,3,1
10,0,0,20,4,0,1,1,7,0,13,0,0,1,4,5,0,1,1
4,4,0,7,7,0,0,0,0,0,23,0,0,0,2,14,0,2,0
11,8,0,31,16,0,0,2,0,0,10,0,0,2,0,5,0,0,1
19,5,4,24,22,2,1,0,0,0,11,4,0,1,0,11,0,1,1
0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,1
8,10,0,13,30,1,0,0,0,0,16,0,0,0,0,15,1,2,1
3,2,0,13,3,0,0,0,1,0,5,0,0,0,0,5,0,0,1
0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,4,0,0,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21,2,0,15,11,0,1,2,0,0,24,6,0,1,1,30,8,1,1
11,15,1,25,9,2,2,0,0,0,9,1,0,0,3,13,0,1,1
1,0,0,8,4,0,0,0,0,0,4,0,0,0,0,0,0,0,1
19,31,2,73,18,2,0,0,1,0,22,0,0,0,2,7,1,2,1
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,3,0,9,9,0,0,1,0,0,6,0,0,0,2,5,0,3,0
16,14,3,13,15,0,0,1,0,0,10,1,0,0,2,13,0,1,1
12,4,1,3,11,0,0,0,0,0,7,0,0,0,0,3,0,1,1
4,2,0,15,7,0,1,2,2,0,16,0,0,0,3,5,0,0,1
2,0,0,6,8,0,0,0,0,0,4,0,0,0,0,12,1,1,1
7,6,0,23,14,1,0,1,0,0,10,1,0,0,0,13,4,1,1
3,1,0,9,1,0,0,0,0,0,1,0,0,0,1,5,0,1,0
19,10,0,62,84,1,0,3,0,0,67,2,0,0,8,54,3,3,0
3,3,0,14,3,1,0,0,0,0,4,0,0,0,0,11,0,0,1
11,1,0,20,0,0,0,1,0,0,8,0,0,0,1,3,0,0,1
5,6,0,16,6,1,0,0,0,0,10,0,0,0,3,7,0,0,1
5,5,1,20,12,0,0,0,0,0,9,0,0,0,5,17,0,0,1
9,0,0,3,5,1,0,1,0,0,6,1,0,1,0,18,0,0,1
11,1,0,7,4,0,0,0,0,0,5,1,1,0,2,8,1,0,1
6,4,0,2,7,1,0,1,0,0,6,0,0,0,0,8,0,0,1
6,0,0,8,2,0,0,0,0,0,8,0,0,0,1,7,0,0,1
